X,Y,ROAD,ROAD_NAME,COMMON_USAGE_NAME,SLK,CWY,TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,XSP,DATE_APPROVED,DATE_INSTALLED,ASSET_NO,PANEL_COUNT,PANEL_01_DESIGN,PANEL_01_DESIGN_MEANING,PANEL_02_DESIGN,PANEL_02_DESIGN_MEANING,PANEL_03_DESIGN,PANEL_03_DESIGN_MEANING,PANEL_04_DESIGN,PANEL_04_DESIGN_MEANING,LATITUDE,LONGITUDE,REGULATORY_SIGN_TYPE,ROUTE_NE_ID,OBJECTID,PANEL_01_COMMENT,PANEL_02_COMMENT,PANEL_03_COMMENT,PANEL_04_COMMENT,GlobalID
121.158949,-30.841507,6020002,Coolgardie North Rd,Coolgardie North Rd,13.26,Single,13.26,Local Road,5,Goldfields - Esperance,602,Coolgardie,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R6-9,STOP ON RED SIGNAL (450 X 600),,,,,-30.841507,121.158949,Other,209639,22195758,,,,,{64095E80-67C4-4C0D-BBDF-42CADBA25D7A}
121.161892,-30.953459,6020024,Sylvester St,Sylvester St,1,Single,1,Local Road,5,Goldfields - Esperance,602,Coolgardie,Verge,,,0,2,MR-RS-15B,ENHANCED SCHOOL ZONE SIGN (ALL REGIONS EXCEPT NORTHERN REGIONS) (600 X 1500),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-30.953459,121.161892,Other,241227,22195759,,,,,{1AF05BBA-8AC9-4AB5-A598-560C944267C7}
116.084443,-30.150416,5190165,Wubin - Gunyidi Rd,Wubin - Gunyidi Rd,29.72,Single,29.72,Local Road,14,Mid West-Gascoyne,519,Coorow,Verge,,2020/11/03 16:00:00+00,,3,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),G9-48B,LOOK FOR TRAINS (750X750),,,-30.150416,116.084443,Other,246975,22195760,,,,,{D2DAACD6-CD5D-4716-AE71-3F5F26DF4143}
115.341009,-30.103118,H004,Brand Hwy,Brand Hwy,190.24,Single,187.53,State Road,14,Mid West-Gascoyne,519,Coorow,Right,,,,2,G9-39,KEEP LEFT UNLESS OVERTAKING (2400 X 1300),R9-7-1C,NEXT...KM (1200 X 240),,,,,-30.103118,115.341009,Other,247578,22195761,Panel No 1,NEXT 1.2 KM,,,{1634383C-DCA9-4513-8EA4-180FC6BC62DE}
115.36368,-30.138492,H004,Brand Hwy,Brand Hwy,185.69,Single,182.98,State Road,14,Mid West-Gascoyne,519,Coorow,Left,,,,2,R6-29C,KEEP LEFT UNLESS OVERTAKING (2400 X 1200),R9-7-1C,NEXT...KM (1200 X 240),,,,,-30.138492,115.36368,Other,247578,22195762,PANEL NO 1,NEXT 1.7 KM,,,{1E2F52A7-2DA1-486C-9B9E-299481A82508}
114.970749,-30.068106,5190099,McGilp St,McGilp St,0.519,Single,0.519,Local Road,14,Mid West-Gascoyne,519,Coorow,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-30.068106,114.970749,Other,227727,22195763,,,,,{725737E2-CDCB-4404-A53B-26409B7FEF7E}
114.970746,-30.067999,5190099,McGilp St,McGilp St,0.531,Single,0.531,Local Road,14,Mid West-Gascoyne,519,Coorow,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-30.067999,114.970746,Other,227727,22195764,,,,,{BEF3CCA7-5F40-469C-A6E2-4B865E645330}
116.76561,-30.594907,M032,Northam Pithara,Northam Pithara Rd,129.21,Single,128.88,State Road,8,Wheatbelt,518,Wongan - Ballidu,Right,,,,2,MR-RS-21C,END SPEED LIMIT (900 X 1200),R4-1C,SPEED RESTRICTION (900 X 1200),,,,,-30.594907,116.76561,Other,247805,22195765,END 80,80,,,{8413234F-74A1-43BA-AD2F-0844160D2E26}
114.140575,-27.770162,5130168,Stiles Rd,Stiles Rd,0.233,Single,0.233,Local Road,14,Mid West-Gascoyne,513,Northampton,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-27.770162,114.140575,Other,240435,22195766,,,,,{C6FAEA21-9403-487D-815F-AE0D2C9AD0EA}
114.137987,-27.77018,5130168,Stiles Rd,Stiles Rd,0.011,Single,0.011,Local Road,14,Mid West-Gascoyne,513,Northampton,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-27.77018,114.137987,Other,240435,22195767,,,,,{B5D83507-FC50-414C-BD62-214AA9864BE9}
